Name,age,team,pos,PA,AB,H,2B,3B,HR,BB,SO,P/PA,BA,OBP,SLG,OPS,Year
Abel De Los Santos,25,Cubs,1B,721,676,151,36,28,4,45,170,3.3536754507628292,0.22337278106508876,0.27184466019417475,0.3772189349112426,0.6490635951054173,2014
Adalberto Mendez,28,Phillies,LF,653,623,110,19,18,3,30,104,2.980091883614089,0.17656500802568217,0.21439509954058192,0.27929373996789725,0.4936888395084792,2014
Adam Greenberg,28,Pirates,RF,579,514,144,29,21,12,65,112,3.4145077720207255,0.2801556420233463,0.3609671848013817,0.4883268482490272,0.8492940330504088,2014
Adam Peterson,21,Braves,1B,742,668,192,45,40,10,74,161,3.357142857142857,0.2874251497005988,0.3584905660377358,0.5194610778443114,0.8779516438820472,2014
Adam Shabala,34,Mariners,SS,637,600,109,26,12,10,37,143,3.1758241758241756,0.18166666666666667,0.22919937205651492,0.315,0.5441993720565149,2014
Adrian Houser,33,Royals,SS,668,622,143,32,21,12,46,147,3.188622754491018,0.22990353697749197,0.28293413173652693,0.4067524115755627,0.6896865433120896,2014
Akeel Morris,21,Diamondbacks,1B,760,677,171,39,19,17,83,131,3.386842105263158,0.25258493353028066,0.33421052631578946,0.44165435745937964,0.7758648837751692,2014
Alan Johnson,30,Rays,2B,692,614,202,50,24,11,78,161,3.6199421965317917,0.3289902280130293,0.4046242774566474,0.5423452768729642,0.9469695543296116,2014
Alex Castellanos,31,Rays,P,682,642,120,21,33,2,40,185,3.6085043988269794,0.18691588785046728,0.23460410557184752,0.3317757009345794,0.5663798065064269,2014
Alex Hernandez,23,Blue Jays,C,711,669,120,26,23,2,42,198,3.3966244725738397,0.17937219730941703,0.22784810126582278,0.29596412556053814,0.523812226826361,2014
Alex Pelaez,30,Red Sox,RF,609,567,122,32,23,2,42,275,3.8998357963875203,0.21516754850088182,0.26929392446633826,0.36331569664902996,0.6326096211153682,2014
Allan Dykstra,24,Dodgers,RF,614,577,112,20,21,3,37,155,3.3778501628664497,0.19410745233968804,0.24267100977198697,0.317157712305026,0.559828722077013,2014
Alvin Colina,23,Rangers,2B,702,656,174,34,38,8,46,280,3.6666666666666665,0.2652439024390244,0.31339031339031337,0.4695121951219512,0.7829025085122645,2014
Anderson Garcia,34,Rangers,C,732,674,153,29,29,3,58,183,3.55327868852459,0.22700296735905046,0.28825136612021857,0.3694362017804154,0.657687567900634,2014
Andrew Brackman,28,Rockies,C,707,668,124,37,16,0,39,294,3.6209335219236207,0.18562874251497005,0.23055162659123055,0.28892215568862273,0.5194737822798533,2014
Andrew Werner,32,Brewers,P,674,636,145,34,26,5,38,200,3.507418397626113,0.2279874213836478,0.271513353115727,0.3867924528301887,0.6583058059459157,2014
Andy Barkett,21,Mariners,RF,583,553,135,33,15,13,30,78,2.8473413379073755,0.244122965641953,0.2830188679245283,0.42857142857142855,0.7115902964959568,2014
Andy Van Hekken,20,Mariners,LF,621,587,150,41,19,12,34,97,3.004830917874396,0.2555366269165247,0.2962962962962963,0.4514480408858603,0.7477443371821566,2014
Angel Castro,28,Mets,LF,674,622,136,26,15,4,52,136,3.2611275964391693,0.21864951768488747,0.2789317507418398,0.3279742765273312,0.606906027269171,2014
Angel Chavez,30,Brewers,3B,674,621,162,35,16,11,53,155,3.308605341246291,0.2608695652173913,0.3189910979228487,0.4219001610305958,0.7408912589534444,2014
Angel Salome,34,Angels,2B,695,668,148,33,20,10,27,135,3.060431654676259,0.2215568862275449,0.2517985611510791,0.37574850299401197,0.6275470641450911,2014
